Ratings ,Title,Reviews,
5,Perfect getaway – amazing food and resort!,You can't go wrong with the Solage! Bed and linens are super comfortable. Food is delicious. Property is beautiful and the spa/pool is absolutely relaxing! Make sure to book your spa appointments and dinner reservations early.,
5,"Solage in Calistoga, perfect getaway!","Amazing, unpretentious and completely pampered experience at Solage in Calistoga!! From the room to the facilities and especially the mineral pools amd spa!! Would go back and I will, in a heartbeat! So needed and frlt completely refreshed!! Thank you Solage!",
5,A week at Solage,"Excellent location, staff, services and amenities. Our 4th visit and we will return for the next Christmas week. Of particular importance to me was the friendliness and acuity of staff in every department.",
5,A girls celebration,"Solage is an awesome hotel. A glass of wine when u arrival. A bottle of wine, nespresso coffee and a fridge full of drinks! Exercise classes outstanding. Yoga everyday! So quiet and peaceful! Worth every penny!",
5,The ultimate in comfortable luxury,"A recent weekend trip to Solage to celebrate a birthday was prompted by a special ""Get back to Napa"" offer following the recent firestorm in the area. It couldn't have been more relaxing -- the studio was spacious and private, the amenities excellent, and no detail had been overlooked to make our stay magical. Even the dog was happy with the special bed and treats that welcomed him at check in. The room was so comfortable that we had most of our meals through Room Service, including some killer butterscotch pudding made with Macallan 18. One day we walked into Calistoga, a 20 minute stroll from which we returned with shoes and books: what could be better?",
5,"Great Service, Amenities and Rooms","Solage is an amazing property. It's in the heart of the Wine Country, surrounded by vineyards and mountains. The studios are chic and modern. The restaurant is first-class and so are the thermal pools and the spa. But nothing tops Solage's swimming pool -- it's over 120 feet long and framed by majestic palm trees and olive trees.",
5,Dream resort,"The solage is one of the best places we’ve stayed. The rooms are elegant with excellent coffee, the most comfortable robes and a great shower. There is also a fully stocked mini bar and the most excellent chocolates for turndown service. Rooms come with bikes and it is also walking distance to downtown Calistoga. The solbar offered great drinks onsite with a great outside patio with fire pit. We didn’t have time to try the pool or spa but both looked amazing.",
5,A relaxing spa birthday getaway,"Been wanting too visit wine country for my birthday and searched for a nice resort with spa services and excellent food. So happy that we stayed at the Solage because the experience was excellent! From the staff, private suites, complimentary rental, layout of the property, food, bar, restaurant, and spa exceeded my expectations, The mudbath spa treatment was so relaxing and rejuvenating. Will definately be coming back again,",
5,Perfect getaway,"Spent a night at solage for my birthday. Can’t recommend it highly enough. Property was beautiful, geothermal pools were incredible, restaurant was excellent and staff was so kind. All in all a really wonderful stay in the awesome town of Calistoga. Go and support wine country!",
5,WOW! What a hotel & spa!!!,"This was one of the most serene and high quality hotels I’ve visited in America. It lived up to and exceeded its reputation. Everything was A+++

We stayed in a king studio. It was spacious and in great condition. Very cool shower set up: I think it was made of some type of rock. I hadn’t seen one like that before.

Spa was awesome even in the middle of winter. Mud slide was cool, and definitely worth getting the longer one as even that felt quick. I wish I could buy the relaxation chair.

Food was phenomenal, both the included room service breakfast and also the 5-Star Napa restaurant.

We need an excuse to come back!!!!",
5,SO MUCH LOVE!!!,"This was our second stay at Solage, and it was even more amazing than I remembered. The service level is impeccable. Staff is courteous, the grounds are gorgeous, the beds are beyond comfortable. The food was excellent. They had chai outside during the day, which I just loved. I can’t say enough great things. We also both had massages at the spa, and picked up some great/cute items from the shop in the spa. Might have gone a little overboard, but such great stuff! Will remember this as one of the best trips of my life. Thanks Solage!",
5,Lovely respite from the world in the heart of wine country,"Calistoga is a little further north than much of the Napa Valley, so it's a little more quiet and less crowded up here. The placid, tree-lined grounds are welcoming and encourage guests to take a stroll, but each room also gets two bikes to pedal about if you prefer. (Pump up the tires at the bell desk, though.) The friendly staff will make every point of your visit enjoyable. I've stayed here several times and always liked it. There's a huge swimming pool I didn't swim in (but wished I had) and the food in the restaurant is first class. It's a luxury hotel so you're looking at around $500 a night but compared to other similar hotels up here - most of which are also nice - it's worth it. I would have designed the room a little differently to be more open and I might have chosen an interior color different from the institutional green they have, but that's really nitpicking. This is a lovely part of California and this hotel is a nice base from which to explore it. I would go back again without hesitation, and probably will soon.",
5,Luxe Without The Attitude,"Beautiful place for a relaxing Saturday in the sun. Many spas like this are a bit snooty but not Solage. Great vibe, excellent service and the food and bev were on point. The shrimp lettuce wraps were delicious as was the rose' that washed them down. We'll be back.",
5,Endless Relaxation,"Solage is always the perfect place for a relaxing getaway, there is nothing better than breakfast at Solbar, relaxing at the spa, and enjoying the geo-thermal mineral waters. You will surely leave rejuvenated.",
5,Relaxing and restorative,"This was our third time at Solage and the place never disappoints. It has a tranquility about it that allows you to completely relax and everything is set up for maximum ease and comfort. The lap pool is fantastic, whether you actually want to swim laps or just lounge next to it, and the spa facilities provide everything you need to unwind completely.",
5,Great place to stay,"We love Solage. The property is beautiful. It has all the things we look for - spa, exercise, awesome restaurant. All the staff is friendly and inviting. The room was modern with a soaking tub and steam shower, we had a semi-private patio.",
5,Great honeymoon escape,"The staff is exceptional, as are the grounds, and the on-site restaurant, Solbar. We spent 1 entire day at the spa, and loved every second of it. The concierge set us up very nicely with great ideas of things to do. Very happy. Only downside is this place is a bit pricey, but you definitely get what you pay for.",
5,1st Class all the way!!!,"This was such a treat! The Spirit of Napa special made it possible for my girlfriend and I to have a wonderful two days in the wine country. The resort is absolutely gorgeous. Each studio is tucked away with it's own private porch. We had a view of a beautiful, majestic oak tree. We were welcomed with a glass of wine and a smile!! The rooms are very large, bed comfortable, double sinks, Nespesso machine, fresh half and half, turn down service, robes, and a wonderful spa...we spent a rainy afternoon in the two hot pools, steam room and reading area. Highly recommend this place!!",
5,We loved this gorgeous resort! Two Michelin Star Restaurant Solbar was loved as well! We'll be back!<3,"Not long after the October 2017 fires that devastated Napa and Sonoma, we still wanted to visit and enjoy our previously planned wine country vacation. We arrived at Solage and were very happy with what we saw......a beautiful resort with a spa and an amazing restaurant. Upon our arrival, the offered to pour us a splash of wine at check-in. We arrived a bit early so they suggested we have lunch at their restaurant, Solbar. We didn't know at the time what a great suggestion that was! We sat and looked at the beautiful surrounding at this restaurant...the outside, the inside......it was all so impressive! Then the friendly and helpful service from the waitstaff! It only got better because then there was the beautiful food! OMG! We shared the tuna sliders and a few other appetizers! We didn't even eat that much but because it all tasted so delicious that we were satisfied and very happy! They poured us a delicious and complimentary glass of sparkling wine. Not long after our beautiful room was ready. Clean, updated, large and comfortable. Bicycles for our use outside were a nice touch. So, we ate three meals in a row at Solbar! Two Michelin stars! Every meal better than the one before! If anyone is wondering if it's time to go back to the wine country......go now! Before it gets too crowded again....all wineries are open and happy to have you. Solage was one of the best hotels we've ever been to. It's part of the Auberge collection. An elegant-hip place to be....one of the best in Napa! Hurry and go!!!!!",
5,Grand Experience,"What a wonderful place to stay! Breathtaking views, rooms are studios so you have personal space. The SPA is wonderful. The food is phenomenal. The service is white-glove and the optional Mercedes Benz program use is a wonderful addition. You truly get what you pay for here!",
5,Chic high class yet casual getaway,Loved this place! We’ve always stayed down valley while visiting Napa Valley. This trip we decided to go north and found the Solage. This place offers a casual chic vibe with super nice cottages. The fitness area and outdoor pools were great as we were able to get a workout in everyday before starting our wine tasting. The staff was super friendly and really have zero complaints. We will be back.,
5,"Kid AND dog/puppy friendly, in the wine country?!? Yes!","Six years ago I went looking for a peaceful retreat where my husband, who had just had a heart attack, and our 5 year old daughter could celebrate his life and his turning 50. That was six years ago and we go back to Solage every chance we get. Finally we had found a place in the wine country where we didn't feel like we had to apologize for wanting our young daughter along. It felt like a miracle. Then, last spring we rescued a puppy, Larry. We already had our Solage get-a-way planned with friends, so we thought, okay, they say we can bring dogs! So we brought our 11 week old rescue along for the ride. Solage was AMAZING! Not only did they welcome us and our friends, but Larry was enthusiastically welcomed by every single person who worked there. If you're looking for a first class get-a-way in the wine country to celebrate friends, family (yes, that includes our dogs) and life, where you are welcomed into a world of relaxation, book Solage in Calistoga. You won't be disappointed.",
5,"Amazing property, superb service and great time to visit!!","Nestled in a quiet area walking distance to Calistoga my wife and I returned to Solage, an amazing place to relax, enjoy its well known spa and their incredible pool. No matter what we did, we enjoyed the place with its outstanding service and food.

My wife and I hesitated driving to Calistoga due to the recent fires. The truth is that, even though the city was evacuated, it was all a precautionary move as one cannot see any damage at all from Solage nor the town. We were greeted by beautiful sunny days and spectacular views of the grapes turning to their fall colors. This site is almost as beautiful as visiting the fall back East.",
4,3rd time back..always nice..but not sure about next time..,"Don't mean to contradict my previous review - but been back to Solage again in August 2017 (this being our 3rd time) and felt the hotel was a little dated. Service at the breakfast wasn't as good as I remembered it to be.
As we had stayed at a brand new hotel for the first 2 nights, coming back to Solage on the 3rd night made me feel like I wouldn't want to come back again.

The breakfast area wasn't even that busy, but seemed to take forever to get served. I ordered oatmeal for breakfast but when I asked for milk for the oatmeal, it took 3 tries before I got anything.

Had a spa treatment at the last minute. The spa was good and relaxing - as you would expect from a 5* hotel. I wouldn't say it is the best, but was good enough a treat on a holiday. Something you would expect when you pay high prices and service charge for.",
5,A Great Place to Relax,"This is our favorite type of hotel: One that is set on spacious attractive grounds with individual cottages and plenty of amenities to keep you happy without having to leave the property.

Our cottage was charming on the outside with modern décor on the inside. The look was simple, almost bland, but to a high standard and included two leather chairs looking out to the patio. The bathroom was spacious with a walk-in shower and separate water closet. Our only complaint about the room was the lack of good storage space especially drawers. We were staying for four nights and it would have been nice to have been able to unpack some more and not live out of a suitcase, especially at this price point. Neither of our bags fit in the limited closet, but the cottage was a bit bigger than expected. The room also had nice lighting and we really enjoyed having a big sliding door out to a semi private patio with two chairs, a table, and a pretty view of the property. We liked our placement in the main area of the resort (1-50) where the grounds are manicured and green. Cottages away from this area (51-89) have a more rustic setting.

If you want to pull yourself away from relaxing on the patio then where should you go? The spa complex at this hotel is very nice, with a chic country modern look with full amenities besides treatments such as a spa pool, and separate water areas for men and women. There are also exercise classes on site and a light filled large gym where you can get a full workout. Time at the pool is also a must. It is very large with a beautiful view of the nearby hills. A separate kid’s pool keeps everyone happy and separate. And you might as well take the bikes that come with your cottage for a spin. Or maybe you would prefer more stylish transportation and borrow one of the hotel’s Mercedes.

The only area of the hotel that did not work for us was the much lauded hotel restaurant Solbar. It is a very attractive space inside and out, but the menu was way too fancy for our taste buds, even for breakfast. We did take advantage of the Auberge connection to get us in for a wonderful breakfast at their sister property Calistoga Ranch which is otherwise not open to the public for meals, and also a breakfast at Auberge du Soleil.

The location of the hotel is great at the quieter northern end of the valley but close enough to the other areas not to make it inconvenient. Downtown Calistoga is minutes away via any form of transportation. It is a charming town with a nice collection of eclectic stores and lots of restaurants.

Solage has a great setup and setting and with so much to offer, it is the perfect place to hang your hat for a few days.",
5,Fantastic Resort in Napa,My husband and I thought Solage was lovely. The food was excellent. The spa and mineral baths were very relaxing and we were able to access the baths even when we were not using the spa. We enjoyed access to the Mercedes-Benz vehicles during out stay and they also helped us easily arrange car service back to the airport. Having the bikes available was an easy way to get around. It made me think to try an Auberge Resort in a different destination or come back here with my family.,
5,Tranquility,"Quiet, peaceful, amazing amenities, ideal location (hiking and biking, bikes provided), delicious bath products, the most comfortable beds and robes ever! They even have cars you can use! Full service spa and gym with all the classes you would expect and more.",
3,Average to good experience for the pricey stay,"This is about the third or fourth time we have stayed at Solage. The prices have gone up big time and I feel the service has declined a bit.
We checked in and the girl helping us didn't seem very tenured or experienced in the hospitality business. If I wanted to I probably could have made her cry and want to quit but the yogi in me refrained. We asked for a tub in our room and she said they were committed and couldn't upgrade us. Since when is a tub an upgrade?! I literally saw about two or three other couples or the same folks the next two days. They were not booked solid as we were there Sun-Wed. I feel like we were lied to.

Service around the pools was fine and the staff nice, but for a resort of this caliber there should be more. The wine in the cans offered tasted very bad. The food was very overpriced. The lounge chairs are not padded and somewhat uncomfortable. We hung out at the pool and used the gym and steam/sauna rooms often. I took 3 yoga classes. Two of the classes by Deanne were great although we didn't do much ""flow or warrior poses"". The other teacher Urlika didn't really teach yoga but more like a sports stretching class dubbed as ""therapeutic yoga"". I was expecting more of a yin or restorative type. Nonetheless I enjoyed the classes and the yoga room is beautiful. All the equipment is great.

The room: We love the room and outdoor patio. It's rustic, modern and spacious. The bed is comfy but pillows to mushy. I asked for a thicker pillow but the one they brought was too stiff and high. They could use a pillow bar with the prices they charge. We love the nespresso machine although its noisy in the morning when your partner is sleeping. There is coffee outside the front desk which is nice to have. We were able to picnic outside our room with wine and cheese. The staff brought us ice right away. The bikes could use some maintenance. Mine had a low tire and both were very dusty. These should be in tip top shape when paying close to $700 a night! I will say the hotel needs to spray for bugs a bit more. I saw spiders and a roach or something crawling on the floor as we were checking out. I have seen other reviews about ants but we didn't have that problem.

Solbar: We ate here but only had the bar menu and sat on the other side of the main restaurant but outdoors. The hostess said the main restaurant was full although I saw many empty tables. The burger was great but the plate could have better presentation for $20. Thought the fries could be thicker and more home made like. Service was pretty good. The rest of the portions seemed to be small. We shared the cheesecake for dessert and that was large and fantastic.

Our room rate included breakfast and I thought the food was really good. Fresh and quality ingredients. The donuts were fabulous at the end. Coffee was tasty too. We both had omelets, regular and egg whites with goat cheese and spinach. I think we enjoyed lounging at breakfast the most. Although our waiter bailed on us and went on break without telling us. Kept us waiting on the check and our last minute donut order.

Pro's:
So close to Calistoga. Fun to ride the bikes into town. Great market in town as well to buy cheese and bread. Near some fun wineries and off the Silverado trail.
Loved the grounds, pools, spa amenities, etc. The cottages are very private and all have small outdoor spaces to lounge; great for the hotter months. Loved the in room coffee and drinks. Turndown service is a nice touch with chocolate and water. The gym and yoga studio is very nice.
The valet and check in staff was nice. The welcome wine is a good touch but they should include a bottle in the room as well.
When we did call for extra pillows, ice etc. there was prompt service and delivery!

Things they can work on:
Weeks before I emailed concierge to ask for a list of wineries they recommend. I was expecting something tailored and unique. Instead they sent pdfs of the entire region. Not really custom and didn't offer to help with creating an itinerary or reservations. I was expecting a little more service here.

Upon check in the front desk staff thanked us for our multiple stays but it would be a nice gesture to send something like wine, champagne or snacks to the room for our loyalty.

The staff was very nice but no one went out of their way. Something you would expect paying $700 a night.

On multiple occasions the staff asked for our last name (esp at Solbar) and then only addressed my husband as Mr. (our last name) and not me. I thought this was a bit old school.

There should be snacks and hot drinks in the spa waiting area.

Overall a nice and enjoyable stay but we are thinking of trying other spots nearby on our next jaunt!",
5,Solage Calistoga,A beautiful resort that exceeded our expectations. We were celebrating our 20th anniversary and couldn’t be happier with our experience here. The spa was fabulous. The nicest I’ve ever been to. I would definitely recommend this place and can’t wait to stay here again.,
5,Unwind in style,"All around wonderful experience. We used all the amenities, including a couple's massage and dinner at the restaurant. During our two night stay there really wasn't a reason to leave the resort. The resort was sold out, yet it never appeared crowded. All staff were polite and professional. It was an extremely relaxing experience. We highly recommend.",
5,Simple heaven on earth,"This is a simply splendid resort in almost every way. If you like to swim, it is a must as their pool is marvelous--to float there and look up and see only undeveloped hills that contain this beautiful valley is magical. To sit by the pool all day, ordering drinks and lunch when you feel like it is also a perfect way to spend the day.",
5,Heaven in napa,I have never been more satisfied was a stay! Every thing was perfect from the fabulous bed and pillows to the tremendous food to the huge pool and topped off with the Mercedes convertible you can use for four hours. We enjoyed every minute here and hated to leave.,
5,Anniversary trip,"Solage was incredible in every way
We had a fantastic meal (that we left to the chef )at Solbar for our anniversary
We are world travelers and have eaten at Several Michelin star restaurants including the French Laundry, Solbar in our opinion was a notch above.
The resort staff was attentive and pleasant, the therapeutic pool and area was relaxing, yoga Classes instruction
Knowledgeable and experienced.
Our room , no need to upgrade was comfortable and well equipped, we enjoyed coffee on our patio every morning.
Did a mudslide treatment at the spa, recommended.
We will be back and stay again at Solage.
We have stayed at many more $$$$$*****places in wine country over the years ,Solage really suits our personalities and style.. laid back Luxury.",
5,Ultimate Relaxation,"We live an hours drive away. Solage is the most luxurious & relaxing weekend within driving distance from our home. For three days & nights we rarely ventured off the property, as Sol Bar is one of our favorite restaurants in the greater Bay area...Hiking, pool, & food. Perfect!",
5,"Fantastic Calistoga spa/resort: chic, spacious and very chill!","I stayed at Solage for 3 nights Sept 17-20 during ""wine crush"" season. This was my first trip to the Napa wine country and boy did we choose right! Calistoga is a few towns north of Napa and known for it's geothermal waters. Solage occupies a beautiful parcel only 15 minutes from St Helena, but feels a world away. They have a beautiful pool, gorgeous restaurant (indoor and outdoor), and a first-class spa offering unique treatments.

The suites are bungalow style and very spacious (around 800 sq ft) with utmost privacy. Your room comes with cruiser bikes to use during your stay and we took advantage of them - riding into town and to several fantastic wineries nearby.

Breakfast was included in our rate, and you could have it either in the restaurant or brought to your room. The food was fantastic - fresh, delicious, and innovative.

Their spa facility is gorgeous: with all-white relaxation rooms, a coed geothermal pool, and individual male/female hot tub areas where clothing is optional. We opted for their ""couples mudslide treatment"" which was different than anything I have ever experienced at a hotel spa. you are brought into a tiled room, with private patio where you spread scented volcanic ash mud on your body. You rest for 20 minutes in warm heat as it dries, then are transferred to a private room with oversized soaking tubs where you relax in the geothermal water. The final step is the ""rest room"" where you are placed in a zero-gravity lounge chair, wrapped in down blanket, and given headphones for soothing music. You nap there for 20 minutes. Absolute heaven!

The Calistoga wineries nearby are fantastic. We rode bikes to Chateau Montelena, Vincent Arroyo, Lava Fire, and Laura Michaels. There are many more just a short drive into St. Helena. If you are looking for sublime relaxation, great food, in a beautiful chill environment - this place is for you!",
5,Perfect.,"From the moment we arrived, everything was beyond our expectations. We were hoping it would be worth the high price...and it was! Service was amazing. I could have eaten at the restaurant for every meal. The spa is beautiful and luxurious. The fitness center and yoga classes are first class. They even have Mercedes available for the guests to use. I could go on and on....wine upon arrival, excellent room service, bocce courts, wonderful complimentary teas and coffee. We will be coming back for sure!",
5,Elopement,"The process is effortless, Kristin and Sarah kept us on track and on top of things. The wedding day is perfect, everything is taken care and I got to enjoy our wedding 100%. Love our overall experience at Solage.",
5,A dream Hotel,"Excellent service, reserved luxury. Almost everything is perfect. A relaxing and outstanding weekend. The pool is perfect, the Mercedes service is a treat and the overall experience is that someone really cares for you.",
5,You do pay but you do get!,"A truly relaxing, beautiful spa, mineral pools, swimming pool, fitness center, awesome! Very nice and comfortable rooms and overall really great service. Very pricey restaurant, didn't eat dinner, but breakfast seemed very overpriced for what we got in our opinion. But the views were beautiful and the place is relaxing-be aware though, that during racing season as it is now (Sept), you can really, I mean really, hear the racing til about 9:30-10:00 pm in your studio/cottage on Friday and Saturday nights...",
5,Heaven!,"Every moment of the stay here was sublime.
Friendly, personal check in, understated villa with the most comfortable beds, well stocked and complimentary mini bar, swimming pool long enough to swim in or mineral baths to soak in. Truly fantastic.
And if this is not enough a Mercedes you can borrow when tired of the free bikes.
Setting is perfect, plenty of vineyards to visit.
Not cheap but sometimes you deserve a little bit of heaven.",
